task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,train_steps_k,layer_order
addition,hyb1l1h16d0dr,0.001,0-50,0.039,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0dr,0.001,51-100,0.0,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0dr,0.001,101-150,0.0,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0dr,0.0001,0-50,0.027,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0dr,0.0001,51-100,0.0,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0dr,0.0001,101-150,0.0,hyb,1,1,16,0,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.001,0-50,0.921,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.001,51-100,0.898,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.001,101-150,0.615,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.0001,0-50,0.017,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.0001,51-100,0.0,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h16d0.1dr,0.0001,101-150,0.0,hyb,1,1,16,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.001,0-50,1.0,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.001,51-100,0.9145,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.001,101-150,0.1615,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.0001,0-50,0.0685,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.0001,51-100,0.0,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0dr,0.0001,101-150,0.0,hyb,1,1,64,0,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.001,0-50,1.0,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.001,51-100,0.987,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.001,101-150,0.882,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.0001,0-50,0.874,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.0001,51-100,0.968,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h64d0.1dr,0.0001,101-150,0.7475,hyb,1,1,64,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.001,0-50,0.9715,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.001,51-100,0.1585,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.001,101-150,0.0,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.0001,0-50,1.0,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.0001,51-100,0.9305,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0dr,0.0001,101-150,0.034,hyb,1,1,256,0,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.001,0-50,1.0,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.001,51-100,0.992,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.001,101-150,0.7685,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.0001,0-50,1.0,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.0001,51-100,0.937,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l1h256d0.1dr,0.0001,101-150,0.301,hyb,1,1,256,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.001,0-50,0.9955,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.001,51-100,0.3505,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.001,101-150,0.015,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.0001,0-50,0.017,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.0001,51-100,0.0,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0dr,0.0001,101-150,0.0,hyb,1,2,16,0,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.001,0-50,0.845,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.001,51-100,0.925,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.001,101-150,0.448,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.0001,0-50,0.0075,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.0001,51-100,0.0,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h16d0.1dr,0.0001,101-150,0.0,hyb,1,2,16,0.1,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.001,0-50,1.0,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.001,51-100,0.9175,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.001,101-150,0.4315,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.0001,0-50,0.9895,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.0001,51-100,0.2215,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0dr,0.0001,101-150,0.0305,hyb,1,2,64,0,-,s4,-,-,-,-
addition,hyb1l2h64d0.1dr,0.001,0-50,1.0,hyb,1,2,64,0.1,-,s4,-,-,-,-
addition,hyb1l2h64d0.1dr,0.001,51-100,1.0,hyb,1,2,64,0.1,-,s4,-,-,-,-
addition,hyb1l2h64d0.1dr,0.001,101-150,0.9955,hyb,1,2,64,0.1,-,s4,-,-,-,-
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0385,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.041,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0005,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0165,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0315,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.001lr,0.001,0-49,1.0,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.3195,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.001lr,0.001,0-49,1.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.451,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0225,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0145,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.9965,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.7865,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.9965,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.974,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.003,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.013,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0.1,2,s4,True,False,30,sa
