task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,ne,train_steps_k,layer_order
addition,hybsas42l2h16d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0685,hyb,2,2,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h16d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,2,2,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h16d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,2,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h16d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.033,hyb,2,2,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l2h16d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,2,2,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l2h16d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,2,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.5855,hyb,2,2,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0035,hyb,2,2,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,2,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.4055,hyb,2,2,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0005,hyb,2,2,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l2h256d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,2,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0465,hyb,2,4,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,2,4,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,4,16,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.042,hyb,2,4,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,2,4,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h16d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,4,16,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.934,hyb,2,4,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.023,hyb,2,4,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,4,256,0,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.536,hyb,2,4,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.004,hyb,2,4,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas42l4h256d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,2,4,256,0.1,2,s4,True,False,-,30,sa
addition,hybsas48l2h16d0dr2mlppenolnstp60k0.001lr,0.001,0-49,0.356,hyb,8,2,16,0,2,s4,True,False,-,60,sa
addition,hybsas48l2h16d0dr2mlppenolnstp60k0.001lr,0.001,50-99,0.0,hyb,8,2,16,0,2,s4,True,False,-,60,sa
addition,hybsas48l2h16d0dr2mlppenolnstp60k0.001lr,0.001,100-149,0.0,hyb,8,2,16,0,2,s4,True,False,-,60,sa
addition,hybsas48l2h16d0.1dr2mlppenolnstp60k0.001lr,0.001,0-49,0.1985,hyb,8,2,16,0.1,2,s4,True,False,-,60,sa
addition,hybsas48l2h16d0.1dr2mlppenolnstp60k0.001lr,0.001,50-99,0.0,hyb,8,2,16,0.1,2,s4,True,False,-,60,sa
addition,hybsas48l2h16d0.1dr2mlppenolnstp60k0.001lr,0.001,100-149,0.0,hyb,8,2,16,0.1,2,s4,True,False,-,60,sa
addition,lm1l1h16d,0.001,0-50,0.036,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h16d,0.001,51-100,0.0,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h16d,0.001,101-150,0.0,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h16d,0.0001,0-50,0.021,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h16d,0.0001,51-100,0.0,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h16d,0.0001,101-150,0.0,lm,1,1,16,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.001,0-50,0.0445,lm,1,1,64,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.001,51-100,0.0,lm,1,1,64,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.001,101-150,0.0,lm,1,1,64,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.0001,0-50,0.0285,lm,1,1,64,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.0001,51-100,0.0,lm,1,1,64,-,-,-,-,-,-,-,-
addition,lm1l1h64d,0.0001,101-150,0.0,lm,1,1,64,-,-,-,-,-,-,-,-
