task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,train_steps_k,layer_order
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0385,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.041,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0005,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0165,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0315,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.001lr,0.001,0-49,1.0,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.3195,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.001lr,0.001,0-49,1.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.451,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0225,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0145,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.9965,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.7865,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.9965,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.974,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.003,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.013,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0195,hyb,1,2,4,0,1,s4,True,False,30,sa
addition,hybsas41l2h4d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,2,4,0,1,s4,True,False,30,sa
