lm1l1h16d		 reach max step		 eval_len0-50_acc: 0.036		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l1h16d		 reach max step		 eval_len0-50_acc: 0.021		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l1h64d		 reach max step		 eval_len0-50_acc: 0.0445		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l1h64d		 reach max step		 eval_len0-50_acc: 0.0285		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l1h256d		 reach max step		 eval_len0-50_acc: 0.015		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l1h256d		 reach max step		 eval_len0-50_acc: 0.023		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l2h16d		 reach max step		 eval_len0-50_acc: 0.022		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l2h16d		 reach max step		 eval_len0-50_acc: 0.021		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l2h64d		 reach max step		 eval_len0-50_acc: 0.0625		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l2h64d		 reach max step		 eval_len0-50_acc: 0.015		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l2h256d		 reach max step		 eval_len0-50_acc: 0.0435		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l2h256d		 reach max step		 eval_len0-50_acc: 0.0505		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l4h16d		 reach max step		 eval_len0-50_acc: 0.015		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l4h16d		 reach max step		 eval_len0-50_acc: 0.021		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l4h64d		 reach max step		 eval_len0-50_acc: 0.072		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l4h64d		 reach max step		 eval_len0-50_acc: 0.018		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm1l4h256d		 reach max step		 eval_len0-50_acc: 0.03		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm1l4h256d		 reach max step		 eval_len0-50_acc: 0.0555		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm2l1h16d		 reach max step		 eval_len0-50_acc: 0.039		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm2l1h16d		 reach max step		 eval_len0-50_acc: 0.026		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm2l1h64d		 reach max step		 eval_len0-50_acc: 0.1215		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm2l1h64d		 reach max step		 eval_len0-50_acc: 0.0305		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm2l1h256d		 reach max step		 eval_len0-50_acc: 0.01		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm2l1h256d		 reach max step		 eval_len0-50_acc: 0.1105		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm2l2h16d		 reach max step		 eval_len0-50_acc: 0.064		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm2l2h16d		 reach max step		 eval_len0-50_acc: 0.027		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
lm2l2h64d		 reach max step		 eval_len0-50_acc: 0.1565		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
lm2l2h64d		 reach max step		 eval_len0-50_acc: 0.043		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
