ssm1l16d0dr		 reach max step		 eval_len0-50_acc: 0.027		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l16d0dr		 reach max step		 eval_len0-50_acc: 0.0155		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm1l64d0dr		 reach max step		 eval_len0-50_acc: 0.067		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l64d0dr		 reach max step		 eval_len0-50_acc: 0.031		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm1l256d0dr		 reach max step		 eval_len0-50_acc: 0.1215		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l256d0dr		 reach max step		 eval_len0-50_acc: 0.0425		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l16d0dr		 reach max step		 eval_len0-50_acc: 0.035		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l16d0dr		 reach max step		 eval_len0-50_acc: 0.0205		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l64d0dr		 reach max step		 eval_len0-50_acc: 0.115		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l64d0dr		 reach max step		 eval_len0-50_acc: 0.0295		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l256d0dr		 reach max step		 eval_len0-50_acc: 0.2835		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l256d0dr		 reach max step		 eval_len0-50_acc: 0.068		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l16d0dr		 reach max step		 eval_len0-50_acc: 0.052		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l16d0dr		 reach max step		 eval_len0-50_acc: 0.0265		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l64d0dr		 reach max step		 eval_len0-50_acc: 0.1975		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l64d0dr		 reach max step		 eval_len0-50_acc: 0.04		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l256d0dr		 reach max step		 eval_len0-50_acc: 0.3995		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l256d0dr		 reach max step		 eval_len0-50_acc: 0.0995		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
