ssm1l16d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.972		eval_len101-150_acc: 0.968 		lr: 0.001
ssm1l16d0dr		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.962		eval_len101-150_acc: 0.9455 		lr: 0.0001
ssm1l64d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9795		eval_len101-150_acc: 0.978 		lr: 0.001
ssm1l64d0dr		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9545		eval_len101-150_acc: 0.9515 		lr: 0.0001
ssm1l256d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9755		eval_len101-150_acc: 0.9755 		lr: 0.001
ssm1l256d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9775		eval_len101-150_acc: 0.965 		lr: 0.0001
ssm2l16d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.98		eval_len101-150_acc: 0.956 		lr: 0.001
ssm2l16d0dr		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.961		eval_len101-150_acc: 0.937 		lr: 0.0001
ssm2l64d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9925		eval_len101-150_acc: 0.9835 		lr: 0.001
ssm2l64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.982		eval_len101-150_acc: 0.9785 		lr: 0.0001
ssm2l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.988		eval_len101-150_acc: 0.988 		lr: 0.001
ssm2l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.977		eval_len101-150_acc: 0.952 		lr: 0.0001
ssm4l16d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.983		eval_len101-150_acc: 0.844 		lr: 0.001
ssm4l16d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.973		eval_len101-150_acc: 0.98 		lr: 0.0001
ssm4l64d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9915		eval_len101-150_acc: 0.9585 		lr: 0.001
ssm4l64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.991		eval_len101-150_acc: 0.9865 		lr: 0.0001
ssm4l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.993		eval_len101-150_acc: 0.925 		lr: 0.001
ssm4l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9895		eval_len101-150_acc: 0.984 		lr: 0.0001
