ssm1l16d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.817		eval_len101-150_acc: 0.7075 		lr: 0.001
ssm1l16d0dr		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.837		eval_len101-150_acc: 0.798 		lr: 0.0001
ssm1l64d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8835		eval_len101-150_acc: 0.847 		lr: 0.001
ssm1l64d0dr		 >> reach max step		 eval_len0-50_acc: 0.9995		eval_len51-100_acc: 0.882		eval_len101-150_acc: 0.8265 		lr: 0.0001
ssm1l256d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.861		eval_len101-150_acc: 0.812 		lr: 0.001
ssm1l256d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.854		eval_len101-150_acc: 0.7795 		lr: 0.0001
ssm2l16d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8875		eval_len101-150_acc: 0.733 		lr: 0.001
ssm2l16d0dr		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8935		eval_len101-150_acc: 0.7135 		lr: 0.0001
ssm2l64d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.893		eval_len101-150_acc: 0.76 		lr: 0.001
ssm2l64d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9165		eval_len101-150_acc: 0.7355 		lr: 0.0001
ssm2l256d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.919		eval_len101-150_acc: 0.8275 		lr: 0.001
ssm2l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.821		eval_len101-150_acc: 0.66 		lr: 0.0001
ssm4l16d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9015		eval_len101-150_acc: 0.7695 		lr: 0.001
ssm4l16d0dr		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8495		eval_len101-150_acc: 0.5905 		lr: 0.0001
ssm4l64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.936		eval_len101-150_acc: 0.8805 		lr: 0.001
ssm4l64d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.902		eval_len101-150_acc: 0.7925 		lr: 0.0001
ssm4l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9345		eval_len101-150_acc: 0.853 		lr: 0.001
ssm4l256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.911		eval_len101-150_acc: 0.774 		lr: 0.0001
