hyb1l1h16d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.91		eval_len101-150_acc: 0.8385 		lr: 0.001
hyb1l1h16d0dr		 >> reach max step		 eval_len0-50_acc: 0.9955		eval_len51-100_acc: 0.807		eval_len101-150_acc: 0.704 		lr: 0.0001
hyb1l1h16d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.943		eval_len101-150_acc: 0.835 		lr: 0.001
hyb1l1h16d0.1dr		 reach max step		 eval_len0-50_acc: 0.977		eval_len51-100_acc: 0.8135		eval_len101-150_acc: 0.7445 		lr: 0.0001
hyb1l1h64d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8825		eval_len101-150_acc: 0.7715 		lr: 0.001
hyb1l1h64d0dr		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8295		eval_len101-150_acc: 0.7035 		lr: 0.0001
hyb1l1h64d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.929		eval_len101-150_acc: 0.8845 		lr: 0.001
hyb1l1h64d0.1dr		 >> reach max step		 eval_len0-50_acc: 0.9965		eval_len51-100_acc: 0.918		eval_len101-150_acc: 0.8815 		lr: 0.0001
hyb1l1h256d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8935		eval_len101-150_acc: 0.8155 		lr: 0.001
hyb1l1h256d0dr		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8895		eval_len101-150_acc: 0.84 		lr: 0.0001
hyb1l1h256d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9105		eval_len101-150_acc: 0.8495 		lr: 0.001
hyb1l1h256d0.1dr		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9155		eval_len101-150_acc: 0.865 		lr: 0.0001
hyb1l2h16d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9095		eval_len101-150_acc: 0.849 		lr: 0.001
