lm0.0reg2l1h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.76		eval_len50-99_acc: 0.667		eval_len100-149_acc: 0.625		lr: 0.001
lm0.0reg2l1h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.842		eval_len50-99_acc: 0.754		eval_len100-149_acc: 0.6915		lr: 0.001
lm0.0reg2l1h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.965		eval_len100-149_acc: 0.818		lr: 0.001
lm0.0reg2l1h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.965		eval_len100-149_acc: 0.818		lr: 0.001
lm0.0reg2l1h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.6115		eval_len50-99_acc: 0.498		eval_len100-149_acc: 0.5095		lr: 0.001
lm0.0reg2l1h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.6115		eval_len50-99_acc: 0.498		eval_len100-149_acc: 0.5095		lr: 0.001
lm0.0reg2l2h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.9985		eval_len50-99_acc: 0.9195		eval_len100-149_acc: 0.7465		lr: 0.001
lm0.0reg2l2h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.9985		eval_len50-99_acc: 0.9195		eval_len100-149_acc: 0.7465		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9965		eval_len100-149_acc: 0.9635		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9965		eval_len100-149_acc: 0.9635		lr: 0.001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.6185		eval_len50-99_acc: 0.501		eval_len100-149_acc: 0.5075		lr: 0.001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.6185		eval_len50-99_acc: 0.501		eval_len100-149_acc: 0.5075		lr: 0.001
lm0.0reg4l1h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.982		eval_len100-149_acc: 0.851		lr: 0.001
lm0.0reg4l1h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.982		eval_len100-149_acc: 0.851		lr: 0.001
lm0.0reg4l1h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.997		eval_len100-149_acc: 0.9475		lr: 0.001
lm0.0reg4l1h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.997		eval_len100-149_acc: 0.9475		lr: 0.001
lm0.0reg4l1h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.611		eval_len50-99_acc: 0.484		eval_len100-149_acc: 0.503		lr: 0.001
lm0.0reg4l1h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.611		eval_len50-99_acc: 0.484		eval_len100-149_acc: 0.503		lr: 0.001
lm0.0reg4l2h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.992		eval_len100-149_acc: 0.8875		lr: 0.001
lm0.0reg4l2h16d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.992		eval_len100-149_acc: 0.8875		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.997		eval_len100-149_acc: 0.755		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.997		eval_len100-149_acc: 0.755		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9995		eval_len100-149_acc: 0.9515		lr: 0.001
lm0.0reg4l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9995		eval_len100-149_acc: 0.9515		lr: 0.001
