1l1h16d		 reach max step		 eval_len0-50_acc: 0.3465		eval_len51-100_acc: 0.218		eval_len101-150_acc: 0.19 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.109		eval_len51-100_acc: 0.0965		eval_len101-150_acc: 0.098 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.88		eval_len51-100_acc: 0.727		eval_len101-150_acc: 0.6505 		lr: 0.001
1l1h64d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.976		eval_len101-150_acc: 0.879 		lr: 0.0001
1l1h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9765		eval_len101-150_acc: 0.9505 		lr: 0.001
1l1h256d		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9875		eval_len101-150_acc: 0.927 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.432		eval_len51-100_acc: 0.2795		eval_len101-150_acc: 0.2645 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.1105		eval_len51-100_acc: 0.094		eval_len101-150_acc: 0.0905 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.921		eval_len51-100_acc: 0.792		eval_len101-150_acc: 0.7195 		lr: 0.001
1l2h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.962		eval_len101-150_acc: 0.854 		lr: 0.0001
1l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.999		eval_len101-150_acc: 0.9935 		lr: 0.001
1l2h256d		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9785		eval_len101-150_acc: 0.8965 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.447		eval_len51-100_acc: 0.274		eval_len101-150_acc: 0.2585 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.113		eval_len51-100_acc: 0.0905		eval_len101-150_acc: 0.0925 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.9355		eval_len51-100_acc: 0.7975		eval_len101-150_acc: 0.737 		lr: 0.001
1l4h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.964		eval_len101-150_acc: 0.84 		lr: 0.0001
1l4h256d		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.999		eval_len101-150_acc: 0.987 		lr: 0.001
1l4h256d		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.978		eval_len101-150_acc: 0.9235 		lr: 0.0001
2l1h16d		 >> early stop 0.9		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.934		eval_len101-150_acc: 0.591 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.4845		eval_len51-100_acc: 0.3215		eval_len101-150_acc: 0.278 		lr: 0.0001
2l1h64d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9775		eval_len101-150_acc: 0.906 		lr: 0.001
2l1h64d		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9575		eval_len101-150_acc: 0.855 		lr: 0.0001
2l1h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.999		eval_len101-150_acc: 0.995 		lr: 0.001
2l1h256d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.992		eval_len101-150_acc: 0.9595 		lr: 0.0001
2l2h16d		 reach max step		 eval_len0-50_acc: 0.8715		eval_len51-100_acc: 0.6835		eval_len101-150_acc: 0.571 		lr: 0.001
2l2h16d		 reach max step		 eval_len0-50_acc: 0.446		eval_len51-100_acc: 0.295		eval_len101-150_acc: 0.2685 		lr: 0.0001
2l2h64d		 >> early stop 1.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.997		eval_len101-150_acc: 0.9555 		lr: 0.001
2l2h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.982		eval_len101-150_acc: 0.905 		lr: 0.0001
2l2h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.999		eval_len101-150_acc: 0.979 		lr: 0.001
2l2h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9815		eval_len101-150_acc: 0.9345 		lr: 0.0001
2l4h16d		 >> reach max step		 eval_len0-50_acc: 0.998		eval_len51-100_acc: 0.9335		eval_len101-150_acc: 0.7725 		lr: 0.001
