lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.673		eval_len25-49_acc: 0.524		eval_len50-74_acc: 0.512		eval_len75-99_acc: 0.4975		eval_len100-124_acc: 0.4805		eval_len125-149_acc: 0.489		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6825		eval_len25-49_acc: 0.517		eval_len50-74_acc: 0.5135		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.49		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6725		eval_len25-49_acc: 0.5045		eval_len50-74_acc: 0.488		eval_len75-99_acc: 0.5235		eval_len100-124_acc: 0.496		eval_len125-149_acc: 0.4935		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6835		eval_len25-49_acc: 0.49		eval_len50-74_acc: 0.4915		eval_len75-99_acc: 0.503		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.5115		lr: 0.0001
lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.681		eval_len25-49_acc: 0.498		eval_len50-74_acc: 0.4915		eval_len75-99_acc: 0.503		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.5115		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6825		eval_len25-49_acc: 0.517		eval_len50-74_acc: 0.5135		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.49		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6725		eval_len25-49_acc: 0.5045		eval_len50-74_acc: 0.488		eval_len75-99_acc: 0.5235		eval_len100-124_acc: 0.496		eval_len125-149_acc: 0.4935		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6835		eval_len25-49_acc: 0.49		eval_len50-74_acc: 0.4915		eval_len75-99_acc: 0.503		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.5115		lr: 0.0001
lm0.0reg2l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6485		eval_len25-49_acc: 0.4985		eval_len50-74_acc: 0.4915		eval_len75-99_acc: 0.5005		eval_len100-124_acc: 0.5065		eval_len125-149_acc: 0.505		lr: 0.001
lm0.0reg2l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6715		eval_len25-49_acc: 0.491		eval_len50-74_acc: 0.498		eval_len75-99_acc: 0.504		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.5115		lr: 0.0001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.664		eval_len25-49_acc: 0.5015		eval_len50-74_acc: 0.5045		eval_len75-99_acc: 0.4995		eval_len100-124_acc: 0.479		eval_len125-149_acc: 0.4885		lr: 0.001
lm0.0reg2l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6775		eval_len25-49_acc: 0.4955		eval_len50-74_acc: 0.49		eval_len75-99_acc: 0.506		eval_len100-124_acc: 0.514		eval_len125-149_acc: 0.506		lr: 0.0001
