hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.119		eval_len51-100_acc: 0.007		eval_len101-150_acc: 0.001 		lr: 0.0001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.5245		eval_len51-100_acc: 0.5125		eval_len101-150_acc: 0.4905 		lr: 0.001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.51		eval_len51-100_acc: 0.5145		eval_len101-150_acc: 0.5015 		lr: 0.001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.134		eval_len51-100_acc: 0.0035		eval_len101-150_acc: 0.001 		lr: 0.0001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.51		eval_len51-100_acc: 0.5145		eval_len101-150_acc: 0.5015 		lr: 0.001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.139		eval_len51-100_acc: 0.005		eval_len101-150_acc: 0.001 		lr: 0.0001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.538		eval_len51-100_acc: 0.498		eval_len101-150_acc: 0.511 		lr: 0.001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.517		eval_len51-100_acc: 0.5115		eval_len101-150_acc: 0.489 		lr: 0.001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.1435		eval_len51-100_acc: 0.0045		eval_len101-150_acc: 0.0 		lr: 0.0001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.517		eval_len51-100_acc: 0.5115		eval_len101-150_acc: 0.489 		lr: 0.001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.526		eval_len51-100_acc: 0.514		eval_len101-150_acc: 0.5015 		lr: 0.001
hybas1l1h2d0dr		 reach max step		 eval_len0-50_acc: 0.1285		eval_len51-100_acc: 0.0065		eval_len101-150_acc: 0.0005 		lr: 0.0001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.526		eval_len51-100_acc: 0.514		eval_len101-150_acc: 0.5015 		lr: 0.001
hybas1l1h2d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
