olmohybsssa1l1h16d0drnestp30k0.001lr	>> early stop 0.01			eval_len0-49_acc: 1.0		eval_len100-149_acc: 0.845		eval_len50-99_acc: 0.9635		lr: 0.001
olmohybsssa1l1h16d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l1h64d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l1h64d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l2h16d0drnestp30k0.001lr	>> early stop 0.07			eval_len0-49_acc: 1.0		eval_len100-149_acc: 0.91		eval_len50-99_acc: 0.973		lr: 0.001
olmohybsssa1l2h16d0.1drnestp30k0.001lr	>> early stop 0.6133333333333333			eval_len0-49_acc: 1.0		eval_len100-149_acc: 0.7525		eval_len50-99_acc: 0.9345		lr: 0.001
olmohybsssa1l2h64d0drnestp30k0.001lr	>> early stop 0.013333333333333334			eval_len0-49_acc: 1.0		eval_len100-149_acc: 0.97		eval_len50-99_acc: 0.9945		lr: 0.001
olmohybsssa1l2h64d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l4h16d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l4h16d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l4h64d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa1l4h64d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l1h16d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l1h16d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l1h64d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l1h64d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l2h16d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l2h16d0.1drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
olmohybsssa2l2h64d0drnestp30k0.001lr	reach max step			eval_len0-49_acc: 0.0		eval_len100-149_acc: 0.0		eval_len50-99_acc: 0.0		lr: 0.001
