hyb1l1h16d0dr		 reach max step		 eval_len0-50_acc: 0.218		eval_len51-100_acc: 0.0125		eval_len101-150_acc: 0.0 		lr: 0.001
hyb1l1h16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l1h16d0.1dr		 reach max step		 eval_len0-50_acc: 0.023		eval_len51-100_acc: 0.0005		eval_len101-150_acc: 0.0 		lr: 0.001
hyb1l1h16d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l1h64d0dr		 >> reach max step		 eval_len0-50_acc: 0.998		eval_len51-100_acc: 0.9895		eval_len101-150_acc: 0.8595 		lr: 0.001
hyb1l1h64d0dr		 reach max step		 eval_len0-50_acc: 0.068		eval_len51-100_acc: 0.043		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l1h64d0.1dr		 reach max step		 eval_len0-50_acc: 0.971		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.5125 		lr: 0.001
hyb1l1h64d0.1dr		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l1h256d0dr		 >> reach max step		 eval_len0-50_acc: 0.9995		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.998 		lr: 0.001
hyb1l1h256d0dr		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.841		eval_len101-150_acc: 0.1655 		lr: 0.0001
hyb1l1h256d0.1dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9975		eval_len101-150_acc: 0.8465 		lr: 0.001
hyb1l1h256d0.1dr		 reach max step		 eval_len0-50_acc: 0.9485		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0 		lr: 0.0001
hyb1l2h16d0dr		 reach max step		 eval_len0-50_acc: 0.2665		eval_len51-100_acc: 0.084		eval_len101-150_acc: 0.0 		lr: 0.001
hyb1l2h16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l2h16d0.1dr		 reach max step		 eval_len0-50_acc: 0.005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
hyb1l2h16d0.1dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l2h64d0dr		 >> reach max step		 eval_len0-50_acc: 0.998		eval_len51-100_acc: 0.997		eval_len101-150_acc: 0.94 		lr: 0.001
hyb1l2h64d0dr		 reach max step		 eval_len0-50_acc: 0.0055		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l2h64d0.1dr		 >> reach max step		 eval_len0-50_acc: 0.9985		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0 		lr: 0.001
hyb1l2h64d0.1dr		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
hyb1l2h256d0dr		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.999		eval_len101-150_acc: 0.9965 		lr: 0.001
hyb1l2h256d0dr		 >> reach max step		 eval_len0-50_acc: 0.998		eval_len51-100_acc: 0.8185		eval_len101-150_acc: 0.1945 		lr: 0.0001
hyb1l2h256d0.1dr		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0 		lr: 0.001
