1l1h16d		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h16d		 reach max step		 eval_len0-50_acc: 0.0165		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.0195		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h64d		 reach max step		 eval_len0-50_acc: 0.0075		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.042		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l1h256d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.002		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h16d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.022		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h64d		 reach max step		 eval_len0-50_acc: 0.0085		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.077		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l2h256d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.0155		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h16d		 reach max step		 eval_len0-50_acc: 0.004		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.0215		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h64d		 reach max step		 eval_len0-50_acc: 0.017		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.084		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
1l4h256d		 reach max step		 eval_len0-50_acc: 0.0265		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.046		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
2l1h64d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.9965 		lr: 0.001
