lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9995		eval_len50-74_acc: 0.9985		eval_len75-99_acc: 0.974		eval_len100-124_acc: 0.847		eval_len125-149_acc: 0.393		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.1485		eval_len25-49_acc: 0.0		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9855		eval_len50-74_acc: 0.0685		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.164		eval_len25-49_acc: 0.0		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 1.0		eval_len50-74_acc: 0.9965		eval_len75-99_acc: 0.9815		eval_len100-124_acc: 0.909		eval_len125-149_acc: 0.788		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.1485		eval_len25-49_acc: 0.0		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9855		eval_len50-74_acc: 0.0685		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.164		eval_len25-49_acc: 0.0		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9985		eval_len50-74_acc: 0.8705		eval_len75-99_acc: 0.588		eval_len100-124_acc: 0.292		eval_len125-149_acc: 0.0425		lr: 0.001
lm0.0reg2l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.865		eval_len50-74_acc: 0.0835		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.991		eval_len50-74_acc: 0.8715		eval_len75-99_acc: 0.4315		eval_len100-124_acc: 0.1225		eval_len125-149_acc: 0.015		lr: 0.001
