ssm1l16d0dr		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm1l64d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l64d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm1l256d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm1l256d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l64d0dr		 reach max step		 eval_len0-50_acc: 0.016		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l64d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm2l256d0dr		 reach max step		 eval_len0-50_acc: 0.0465		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm2l256d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l16d0dr		 reach max step		 eval_len0-50_acc: 0.0		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l16d0dr		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l64d0dr		 reach max step		 eval_len0-50_acc: 0.024		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l64d0dr		 reach max step		 eval_len0-50_acc: 0.0005		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
ssm4l256d0dr		 reach max step		 eval_len0-50_acc: 0.2245		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.001
ssm4l256d0dr		 reach max step		 eval_len0-50_acc: 0.0075		eval_len51-100_acc: 0.0		eval_len101-150_acc: 0.0 		lr: 0.0001
